,mean_abs_funding,median_abs_funding,std_abs_funding,max_abs_funding,min_abs_funding,positive_funding_pct,negative_funding_pct,zero_funding_pct
OPUSDT,0.00011840843255477787,0.0001,0.00012895236219793023,0.00202586,0.0,84.51004260499087,15.45952525867316,0.030432136335970784
CRVUSDT,0.00012748859156269023,0.0001,0.0001884408561062895,0.00682717,0.0,81.80158247108947,18.167985392574558,0.030432136335970784
ARBUSDT,0.00011666679878048782,0.0001,0.0001264715938619498,0.00128625,8e-08,88.4237349836185,11.576265016381507,0.0
GALAUSDT,0.0001368836878043214,0.0001,0.00025832063876665413,0.0075,0.0,85.90992087644553,14.059646987218501,0.030432136335970784
AAVEUSDT,9.943182840079125e-05,0.0001,8.741207113017008e-05,0.0011126,0.0,87.24893487522824,12.690200852099817,0.06086427267194157
ETHUSDT,8.587832452069385e-05,8.06459375e-05,8.671348467325549e-05,0.00101724,0.0,88.89227023737067,11.077297626293365,0.030432136335970784
BTCUSDT,8.215971108490566e-05,7.765406249999999e-05,8.559758796978876e-05,0.0011378475000000002,0.0,89.53134510042605,10.43822276323798,0.030432136335970784
IMXUSDT,0.00011492631790170422,5e-05,0.0005202742335009664,0.025,0.0,75.44126597687158,24.528301886792452,0.030432136335970784
UNIUSDT,0.00010199052951917226,0.0001,8.663881292002809e-05,0.00119001,0.0,90.26171637248936,9.707851491174681,0.030432136335970784
COMPUSDT,0.00015880907790626902,0.0001,0.0004547772049926097,0.014926590625000001,0.0,75.25867315885574,24.71089470480828,0.030432136335970784
DOGEUSDT,0.00010199646968198419,0.0001,0.00010171713793423249,0.00102757,0.0,86.30553864881315,13.664029214850881,0.030432136335970784
