Symbol,BH_Total_Return,BH_Annualized_Return,BH_Volatility,BH_Sharpe,BH_Max_Drawdown,BH_Fees,Carry_Total_Return,Carry_Annualized_Return,Carry_Volatility,Carry_Sharpe,Carry_Max_Drawdown,Carry_Fees,Carry_Funding_PnL,Outperformance
OPUSDT,-0.25571737721713705,-0.09378146440156232,1.0616393032339813,-0.10717525628050842,-0.9010821156839077,17.45027650433296,0.002239256752328611,0.0007458624683107651,0.0018940653441464424,-10.165508593034357,-0.0009095964543345248,18.124632476714176,40.5172,-0.25795663396946567
CRVUSDT,-0.2745764690029415,-0.10150348685198973,1.0784061655402446,-0.11266950313764262,-0.8380352735156813,17.261496806777362,-0.047699610975554085,-0.016159596278187638,0.011142889812296015,-3.2450824595147716,-0.04769961097555364,76.10105975554035,-400.89504999999997,-0.22687685802738744
ARBUSDT,-0.6704853965342559,-0.35779042035077857,0.9361447728552572,-0.40355982461827083,-0.8904525011322586,13.298444479136577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6704853965342559
GALAUSDT,-0.6346659430894542,-0.2851981542374016,1.111618616434359,-0.2745529354450349,-0.8533178456372796,13.65699756667213,-0.08343444304940784,-0.028622936869689752,0.016830626849018007,-2.8889557891022157,-0.08343444304940784,110.35434299407683,-723.9900875000001,-0.5512315000400464
AAVEUSDT,2.5729991831329366,0.5289751947440249,0.9143182812406537,0.5566717905425537,-0.697353876985591,45.765757588918284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5729991831329366
ETHUSDT,2.11131071289291,0.46003913332521296,0.601913054153711,0.7310676023531462,-0.6407716402322219,41.14425138030941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11131071289291
BTCUSDT,4.853739518954448,0.8025570851220905,0.4503798055613168,1.737549231690739,-0.29857724033165556,68.5959911807252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.853739518954448
IMXUSDT,-0.10502887069381572,-0.03632309634772213,1.0745958924239412,-0.05241328088522228,-0.9021654722692771,18.958669963024867,-0.13116773532181547,-0.045787034156785644,0.03573833353141148,-1.840797475880163,-0.13116773532181536,72.30805321815345,-1239.3693,0.026138864627999747
UNIUSDT,0.3598399959638532,0.10792276517483024,0.9649292652934256,0.09111835275106282,-0.7472947446058945,23.612011971610144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3598399959638532
COMPUSDT,-0.3376847441785802,-0.1283607923188309,0.9840115767655934,-0.15077138909939136,-0.7090746269311786,16.629782340554755,-0.22557024192865915,-0.08168006759503654,0.03482165194139098,-2.920024235673147,-0.22557024192865938,255.31500678659236,-2000.3874125,-0.11211450224992103
DOGEUSDT,2.7751741428592918,0.5572950039304347,0.9386445388280731,0.5724158418918244,-0.716274756283283,47.78953095955247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7751741428592918
